,5,10,30,60,300
0,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
"
1,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
"
2,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
"
3,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
"
4,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
"
5,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
"
6,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# VERDICT SIMPLE
"
7,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
"
8,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# VERDICT SIMPLE
","# VERDICT SIMPLE
"
9,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
"
10,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
"
11,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
"
12,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
"
13,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# VERDICT SIMPLE
","# VERDICT SIMPLE
","# VERDICT SIMPLE
"
14,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
"
15,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
"
16,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
"
17,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# VERDICT SIMPLE
"
18,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
"
19,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
"
20,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
"
21,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
"
22,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# VERDICT SIMPLE
","# VERDICT SIMPLE
","# VERDICT SIMPLE
"
23,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
"
24,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
"
25,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
"
26,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# VERDICT SIMPLE
","# VERDICT SIMPLE
","# VERDICT SIMPLE
"
27,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
"
28,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
"
29,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# VERDICT SIMPLE
","# VERDICT SIMPLE
"
30,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
"
31,"# TIME LIMIT EXTENDED
","# VERDICT SIMPLE
","# VERDICT SIMPLE
","# VERDICT SIMPLE
","# VERDICT SIMPLE
"
32,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
"
33,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
"
34,"# TIME LIMIT EXTENDED
","# VERDICT SIMPLE
","# VERDICT SIMPLE
","# VERDICT SIMPLE
","# VERDICT SIMPLE
"
35,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# VERDICT AMBIGUOUS
","# VERDICT AMBIGUOUS
","# VERDICT AMBIGUOUS
"
36,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
"
37,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
"
38,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# VERDICT AMBIGUOUS
","# VERDICT AMBIGUOUS
","# VERDICT AMBIGUOUS
"
39,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# VERDICT SEPARABLE
"
40,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
"
41,"# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
","# TIME LIMIT EXTENDED
"
42,"# VERDICT SIMPLE
","# VERDICT SIMPLE
","# VERDICT SIMPLE
","# VERDICT SIMPLE
","# VERDICT SIMPLE
"
